,1-5,1-7,1-11,1-15,1-22,1-33,1-47,1-68,1-100,1-150,2-5,2-7,2-11,2-15,2-22,2-33,2-47,2-68,2-100,2-150,3-5,3-7,3-11,3-15,3-22,3-33,3-47,3-68,3-100,3-150,DOGEUSDT,ETCUSDT,LINKUSDT,THETAUSDT,XLMUSDT,LTCUSDT,CHZUSDT,BTCUSDT,BCHUSDT,XRPUSDT,EOSUSDT,TRXUSDT,MATICUSDT,NEOUSDT,ADAUSDT,VETUSDT,BTTUSDT,BNBUSDT,ETHUSDT,"(1.03, 0.93)","(1.04, 0.94)","(1.05, 0.95)","(1.06, 0.96)","(1.07, 0.97)"
0,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
1,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
2,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
3,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
4,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
5,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
6,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
7,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
8,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
9,-0.002877166999943448,-0.0019717348253736056,0.0012373804176892822,0.002377277896394414,0.0029459522181929376,0.0014458237262009455,0.0008442048575987293,0.0006469616203452766,7.917376450894409e-05,-0.0002090141021657832,-0.001686421695241913,-0.0022867833245353575,-0.005322401807382304,-0.0024467848504250433,0.0009318686691679456,0.004373140841463563,0.0031187692922194366,0.0015916992755848902,0.0019339447870851956,0.0007572802449336002,-0.0032555664961845254,-0.004120370158110953,-0.003279209671365302,-0.006129446345679801,-0.0046228740237928,0.0007440790371624484,0.004244803118976792,0.003997979905259408,0.001741369712601415,0.002425228503122767,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1.0,-1.0,-1.0,-1.0,-1.0
