last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
4977.5,1,0,0,0,0,0.248971,-1,1,0,0
4978,1,0,0,0,0,0.597249,3.40971,1,0,0
5000,1,0,0,0,0,0.286145,2.19489,1,0,0
5016,1,0,0,0,0,1.43119,0.593626,1,0,0
5024,1,0,0,0,0,1.8638,-0.303587,1,0,0
5027.5,1,0,0,0,0,0.797445,-2.29373,1,0,0
5021,1,0,0,0,0,1.68387,-2.096,1,0,0
5015.5,1,0,0,0,0,0.839053,0.693312,1,0,0
5024,1,0,0,0,0,2.4583,-2.19498,1,0,0
5018,1,0,0,0,0,0.0769374,-1.39864,1,0,0
5016,1,0,0,0,0,0.661689,-1,1,0,0
5016,1,0,0,0,0,0.00654403,-0.601355,1,0,0
5018,1.00012,0,2429.63,0.484124,2429.63,0.484182,-1.47065,0,1,0
5016,1.00012,-0.000193055,2429.63,0.484317,0,0.0477682,-0.260428,1,0,0
5018.5,1.00012,4.82398e-05,2429.63,0.484076,0,-0.0817779,-0.852158,1,0,0
5019,1.00012,9.64699e-05,2429.63,0.484027,0,0.319712,-1.14784,1,0,0
5018.5,1.00012,4.82398e-05,2429.63,0.484076,0,0.959275,-0.704328,1,0,0
5019.5,1.00012,0.00014469,2429.63,0.483979,0,-1.02605,-1.73934,1,0,0
5017,1.00012,-9.65084e-05,2429.63,0.48422,3111.97,1.10443,1.36396,0,1,0
5025,1.00012,0.000674483,2429.63,0.483449,0,-1.73766,4.88562,1,0,0
5045,1.00012,0.00259126,2429.63,0.481533,0,0.455409,-2.90902,1,0,0
5038.5,1.00012,0.00196998,2429.63,0.482154,0,-0.431876,1.20241,1,0,0
5046,1.00012,0.0026867,2429.63,0.481437,0,-1.92704,-2.90849,1,0,0
5039.5,1.00012,0.00206567,2429.63,0.482058,0,-1.47942,-0.853058,1,0,0
5040,1.00308,-0,-14648.1,-2.89744,-17077.7,-2.90602,-1.85065,0,1,0
5044.5,1.00308,-0.00259266,-14648.1,-2.90002,0,1.64927,0.318967,1,0,0
5041,1.00308,-0.000576546,-14648.1,-2.89801,0,0.881689,-0.623407,1,0,0
5040,1.00308,-0,-14648.1,-2.89744,0,1.50869,-0.623565,1,0,0
5039,1.00308,0.000576775,-14648.1,-2.89686,0,0.887956,-1,1,0,0
5039,1.00308,0.000576775,-14648.1,-2.89686,0,1.99866,-4.95932,1,0,0
5049.5,1.00308,-0.00546796,-14648.1,-2.90289,0,1.59283,0.510135,1,0,0
5045.5,1.00308,-0.00316817,-14648.1,-2.9006,0,1.97075,-0.811357,1,0,0
5045,1.00308,-0.00288044,-14648.1,-2.90031,0,1.54882,-7.8126,1,0,0
5063,1.00308,-0.0132029,-14648.1,-2.9106,0,2.53404,4.49143,1,0,0
5048.5,1.00308,-0.00489336,-14648.1,-2.90232,0,0.660658,-0.811014,1,0,0
5048,1.00308,-0.00460597,-14648.1,-2.90203,0,0.776691,1.45137,1,0,0
5041.5,1.00308,-0.000864733,-14648.1,-2.8983,0,1.99058,0.505528,1,0,0
5037.5,1.00308,0.00144237,-14648.1,-2.896,0,1.2439,-3.07064,1,0,0
5043,1.00308,-0.00172895,-14648.1,-2.89916,0,0.533541,2.01064,1,0,0
5035,1.00308,0.00288616,-14648.1,-2.89456,0,1.56274,0.501859,1,0,0
5031,1.00308,0.00519923,-14648.1,-2.89225,0,2.42618,-3.44185,1,0,0
5037.5,1.00308,0.00144237,-14648.1,-2.896,0,1.16282,-0.811774,1,0,0
5037,1.00308,0.00173101,-14648.1,-2.89571,0,1.62292,-1.56432,1,0,0
5038.5,1.00308,0.000865248,-14648.1,-2.89658,0,2.15308,-1.75287,1,0,0
5040.5,1.00308,-0.000288301,-14648.1,-2.89773,0,1.78435,-0.62338,1,0,0
5039.5,1.00308,0.000288359,-14648.1,-2.89715,0,2.19299,-1,1,0,0
5039.5,1.00308,0.000288359,-14648.1,-2.89715,0,2.1334,0.880102,1,0,0
5034.5,1.00308,0.0031751,-14648.1,-2.89427,0,1.62143,-1,1,0,0
5034.5,1.00308,0.0031751,-14648.1,-2.89427,0,1.77552,-0.812116,1,0,0
5034,1.00308,0.00346408,-14648.1,-2.89398,0,1.7132,-1.18788,1,0,0
5034.5,1.00308,0.0031751,-14648.1,-2.89427,0,2.74508,1.06419,1,0,0
5029,1.00308,0.00635714,-14648.1,-2.8911,0,2.16113,0.498711,1,0,0
5025,1.00308,0.00867572,-14648.1,-2.88879,0,2.97472,-1.18728,1,0,0
5025.5,1.00308,0.0083857,-14648.1,-2.88908,0,1.21831,-1.7492,1,0,0
5027.5,1.00308,0.00722617,-14648.1,-2.89023,0,1.66814,0.684888,1,0,0
5023,1.00308,0.0098364,-14648.1,-2.88763,0,1.67616,1.6151,1,0,0
5016,1.00308,0.0139061,-14648.1,-2.88357,0,0.975476,5.32285,1,0,0
4999,1.00308,0.023837,-14648.1,-2.87367,0,0.399687,-5.64524,1,0,0
5011.5,1.00308,0.0165283,-14648.1,-2.88096,0,0.16529,-0.441541,1,0,0
5010,1.00308,0.0174034,-14648.1,-2.88009,0,0.275294,-1.18599,1,0,0
5010.5,1.00308,0.0171116,-14648.1,-2.88038,0,0.823579,1.60285,1,0,0
5003.5,1.00308,0.0212016,-14648.1,-2.8763,0,0.656667,-1.55718,1,0,0
5005,1.00308,0.0203242,-14648.1,-2.87718,0,0.984457,0.485228,1,0,0
5001,1.00308,0.0226651,-14648.1,-2.87484,0,1.29494,-3.41465,1,0,0
5007.5,1.00308,0.0188631,-14648.1,-2.87863,0,1.13948,0.11524,1,0,0
5004.5,1.00308,0.0206167,-14648.1,-2.87688,0,1.06251,-3.79022,1,0,0
5012,1.00308,0.0162367,-14648.1,-2.88125,0,0.883058,-1.3726,1,0,0
5013,1.00308,0.0156537,-14648.1,-2.88183,0,1.56492,-1.74567,1,0,0
5015,1.00308,0.0144884,-14648.1,-2.88299,0,2.83117,-4.3623,1,0,0
5024,1.00308,0.00925595,-14648.1,-2.88821,0,1.32624,3.10797,1,0,0
5013,1.00308,0.0156537,-14648.1,-2.88183,0,-0.114647,0.303435,1,0,0
5009.5,1.00308,0.0176952,-14648.1,-2.8798,0,2.33118,1.60216,1,0,0
5002.5,1.00308,0.0217869,-14648.1,-2.87572,0,2.13859,-1.74277,1,0,0
5004.5,1.00308,0.0206167,-14648.1,-2.87688,0,1.24608,2.70816,1,0,0
4994.5,1.00308,0.0264771,-14648.1,-2.87104,0,2.88965,-3.22324,1,0,0
5000.5,1.00308,0.022958,-14648.1,-2.87455,0,3.66261,-4.3443,1,0,0
