last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
7309,1,0,0,0,0,-6.51242,-1,1,0,0
7308.5,1,0,0,0,0,-8.2841,-0.931589,1,0,0
7309,1,0,0,0,0,-1.85255,-1,1,0,0
7309,1,0,0,0,0,-1.0777,-1.06841,1,0,0
7308.5,1,0,0,0,0,-3.05179,-0.931589,1,0,0
7309,1,0,0,0,0,1.23281,-1.06841,1,0,0
7308.5,1,0,0,0,0,2.39802,-0.931589,1,0,0
7309,1,0,0,0,0,-0.389273,-1,1,0,0
7309,1,0,0,0,0,-5.88649,-1.06841,1,0,0
7308.5,1,0,0,0,0,-7.43499,-1,1,0,0
7308.5,1,0,0,0,0,-6.475,-1.75283,1,0,0
7303,1,0,0,0,0,-6.11452,-1,1,0,0
7303,1,0,0,0,0,-1.51028,-1.20542,1,0,0
7301.5,1,0,0,0,0,0.287288,-0.863051,1,0,0
7302.5,1,0,0,0,0,0.258352,-0.931533,1,0,0
7303,1,0,0,0,0,-0.0299307,-1.06847,1,0,0
7302.5,1,0,0,0,0,-0.639448,-0.931533,1,0,0
7303,1,0,0,0,0,0.605936,-1.06847,1,0,0
7302.5,1,0,0,0,0,0.221657,-1,1,0,0
7302.5,1,0,0,0,-5857.02,-0.802057,-0.931533,0,1,0
7303,1,0,0,0,-8712.28,-1.19297,-1.06847,0,1,0
7302.5,1,0,0,0,7224.48,0.989315,-1,0,1,0
7302.5,1,0,0,0,13217.6,1.81001,-0.931533,0,1,0
7303,1,0,0,0,5570.87,0.76282,-0.863079,0,1,0
7304,1,0,0,0,0,1.06805,-0.863098,1,0,0
7305,1,0,0,0,0,2.31246,-0.931556,1,0,0
7305.5,1,0,0,0,12719.7,1.74111,-0.589435,0,1,0
7308.5,1,0,0,0,9683.24,1.32493,-1,0,1,0
7308.5,1,0,0,0,45933.8,6.28499,-1,0,1,0
7308.5,1.00124,0,36355.7,4.96826,36355.7,4.97443,-1.80076,0,1,0
7306,1.00124,-0.00170217,36355.7,4.96996,0,3.93334,-1,1,0,0
7306,1.00124,-0.00170217,36355.7,4.96996,0,1.94417,-1,1,0,0
7306,1.00124,-0.00170217,36355.7,4.96996,0,2.58547,-2.22844,1,0,0
7304.5,1.00124,-0.00272404,36355.7,4.97098,-16977.6,2.6496,-3.05035,0,1,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,1.8256,-1,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,3.46683,-0.589263,1,0,0
7302.5,1.00124,-0.00408718,36355.7,4.97234,0,4.19377,-1,1,0,0
7302.5,1.00124,-0.00408718,36355.7,4.97234,0,2.69987,1.45869,1,0,0
7305.5,1.00124,-0.00204275,36355.7,4.9703,0,4.0281,-0.181404,1,0,0
7306.5,1.00124,-0.00136165,36355.7,4.96962,0,3.50024,-1.40924,1,0,0
7306,1.00124,-0.00170217,36355.7,4.96996,0,2.76582,-0.590763,1,0,0
7306.5,1.00124,-0.00136165,36355.7,4.96962,14876.6,7.00316,-1.40924,0,1,0
7306,1.00124,-0.00170217,36355.7,4.96996,17281,7.33233,-1,0,1,0
7306,1.00124,-0.00170217,36355.7,4.96996,0,4.18372,-2.63816,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,-1809.08,4.72394,-1.40984,0,1,0
7303.5,1.00124,-0.00340551,36355.7,4.97166,0,4.76428,-1,1,0,0
7303.5,1.00124,-0.00340551,36355.7,4.97166,0,4.56077,-2.23079,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,4.21383,-1,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,2.40488,-1.41033,1,0,0
7301.5,1.00124,-0.00476903,36355.7,4.97302,-7493.72,3.94797,-0.589672,0,1,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,4.94001,-2.64311,1,0,0
7300,1.00124,-0.00579215,36355.7,4.97404,0,3.47494,-1,1,0,0
7300,1.00124,-0.00579215,36355.7,4.97404,0,4.36822,-1,1,0,0
7300,1.00124,-0.00579215,36355.7,4.97404,0,3.97969,-0.588775,1,0,0
7300.5,1.00124,-0.00545106,36355.7,4.9737,0,4.47309,-1,1,0,0
7300.5,1.00124,-0.00545106,36355.7,4.9737,0,3.97788,-1,1,0,0
7300.5,1.00124,-0.00545106,36355.7,4.9737,0,4.07652,-1,1,0,0
7300.5,1.00124,-0.00545106,36355.7,4.9737,0,3.85872,-0.589428,1,0,0
7301,1.00124,-0.00511002,36355.7,4.97336,0,4.65928,-1,1,0,0
7301,1.00124,-0.00511002,36355.7,4.97336,0,5.27088,-1,1,0,0
7301,1.00124,-0.00511002,36355.7,4.97336,0,5.59912,-1.41057,1,0,0
7300.5,1.00124,-0.00545106,36355.7,4.9737,0,6.07236,-0.589428,1,0,0
7301,1.00124,-0.00511002,36355.7,4.97336,0,4.35003,1.46194,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,3.09871,-1,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,4.16,-1.40984,1,0,0
7303.5,1.00124,-0.00340551,36355.7,4.97166,0,4.57248,-0.590157,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,4.77866,-1.40984,1,0,0
7303.5,1.00124,-0.00340551,36355.7,4.97166,0,4.95525,-0.590157,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,5.6606,-1,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,5.83485,-1,1,0,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,5.03027,-1.40984,1,0,0
7303.5,1.00124,-0.00340551,36355.7,4.97166,-152.555,4.9508,-0.590157,0,1,0
7304,1.00124,-0.00306475,36355.7,4.97132,0,4.43975,-0.180678,1,0,0
7305,1.00124,-0.00238337,36355.7,4.97064,0,4.29118,-1,1,0,0
7305,1.00124,-0.00238337,36355.7,4.97064,0,4.68157,-1,1,0,0
7305,1.00124,-0.00238337,36355.7,4.97064,0,4.92678,-1,1,0,0
7305,1.00124,-0.00238337,36355.7,4.97064,5510.01,5.72398,-1,0,1,0
7305,1.00124,-0.00238337,36355.7,4.97064,22547.1,8.05334,-1.4096,0,1,0
7304.5,1.00124,-0.00272404,36355.7,4.97098,0,5.32279,-1,1,0,0
7304.5,1.00124,-0.00272404,36355.7,4.97098,0,4.85821,-0.5904,1,0,0
7305,1.00124,-0.00238337,36355.7,4.97064,0,3.76653,-1.4096,1,0,0
7304.5,1.00124,-0.00272404,36355.7,4.97098,0,4.63031,-1,1,0,0
7304.5,1.00124,-0.00272404,36355.7,4.97098,0,4.48683,-3.05035,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,3.84354,-1,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,4.5648,-0.589263,1,0,0
7302.5,1.00124,-0.00408718,36355.7,4.97234,0,4.62404,-1.41074,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,4.70258,-1,1,0,0
7302,1.00124,-0.00442808,36355.7,4.97268,0,3.88296,-0.589263,1,0,0
7302.5,1.00124,-0.00408718,36355.7,4.97234,0,3.37593,0.639613,1,0,0
