last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
8105,1,0,0,0,0,1.20904,-1,1,0,0
8105,1,0,0,0,0,1.80654,-1.06169,1,0,0
8104.5,1,0,0,0,0,2.4701,-1,1,0,0
8104.5,1,0,0,0,0,2.7373,-0.938308,1,0,0
8105,1,0,0,0,0,2.50293,-1.06169,1,0,0
8104.5,1.00074,0,23908.1,2.94781,23908.1,2.94998,-0.750104,0,1,0
8103.5,1.00074,-0.000364038,23908.1,2.94817,0,3.92165,-2.4629,1,0,0
8100.5,1.00074,-0.00145669,23908.1,2.94927,0,5.03266,-2.70968,1,0,0
8097,1.00074,-0.00273248,23908.1,2.95054,0,9.02807,-0.755598,1,0,0
8097.5,1.00074,-0.00255016,23908.1,2.95036,42509.4,8.19618,-1,0,1,0
8097.5,1.00074,-0.00255016,23908.1,2.95036,44951.7,8.49758,-1,0,1,0
8097.5,1.00074,-0.00255016,23908.1,2.95036,35045,7.27505,-1.2444,0,1,0
8097,1.00074,-0.00273248,23908.1,2.95054,18388.5,5.21989,-0.755598,0,1,0
8097.5,1.00074,-0.00255016,23908.1,2.95036,0,3.9582,-1.2444,1,0,0
8097,1.00074,-0.00273248,23908.1,2.95054,0,4.05718,-0.755598,1,0,0
8097.5,1.00074,-0.00255016,23908.1,2.95036,0,4.19297,-2.71229,1,0,0
8094,1.00074,-0.00382689,23908.1,2.95163,7837.74,3.91926,-1,0,1,0
8094,1.00074,-0.00382689,23908.1,2.95163,0,3.3919,-0.755375,1,0,0
8094.5,1.00074,-0.00364443,23908.1,2.95145,4677.56,3.5289,-1.24462,0,1,0
8094,1.00074,-0.00382689,23908.1,2.95163,18251.6,5.20492,-0.755375,0,1,0
8094.5,1.00074,-0.00364443,23908.1,2.95145,0,5.42171,-1.24462,1,0,0
8094,1.00074,-0.00382689,23908.1,2.95163,0,3.97655,-1,1,0,0
8094,1.00074,-0.00382689,23908.1,2.95163,-4928.16,2.34322,-1,0,1,0
8094,1.00074,-0.00382689,23908.1,2.95163,7712.21,3.90376,-1,0,1,0
8094,1.00095,-0.00382798,30684.9,3.78749,6776.8,3.78828,-1.38458,0,1,0
