last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
8085,1,0,0,0,46181.6,5.71201,-1,0,1,0
8085,1,0,0,0,44680.2,5.52631,-0.690833,0,1,0
8087.5,1,0,0,0,38985.4,4.82045,-0.87636,0,1,0
8088.5,1,0,0,0,45503.8,5.62574,-0.938186,0,1,0
8089,1,0,0,0,60591.5,7.49061,-1,0,1,0
8089,1,0,0,0,55192.2,6.82311,-0.876383,0,1,0
8090,1,0,0,0,31531.1,3.89754,-1.06181,0,1,0
8089.5,1,0,0,0,31488.8,3.89255,-0.938193,0,1,0
8090,1,0,0,0,38530.5,4.76273,-0.938197,0,1,0
8090.5,1,0,0,0,41183.7,5.09037,0.173528,0,1,0
8100,1,0,0,0,42998.5,5.30845,1.83548,0,1,0
8123,1,0,0,0,-53089.4,-6.53568,-1.49255,0,1,0
8119,1,0,0,0,-81146.4,-9.99463,-3.40466,0,1,0
8099.5,1.00248,-0,-80283.9,-9.8877,-80283.9,-9.9122,-5.68348,0,1,0
8106,1.00248,-0.00794835,-80283.9,-9.89563,16494.7,-7.84993,-0.4475,0,1,0
8105.5,1.00226,-0.00700531,-76650.4,-9.44926,3633.51,-9.43321,5.90801,0,1,0
8099,1.00226,0.000584245,-76650.4,-9.44169,5854.01,-8.72168,-0.480201,0,1,0
8098.5,1.00226,0.00116856,-76650.4,-9.44111,11556,-8.01972,-2.04105,0,1,0
8099.5,1.00296,-0,-53838.2,-6.62747,22812.1,-6.63213,0.396247,0,1,0
8098.5,1.00296,0.000820782,-53838.2,-6.62665,4813.17,-6.03572,-2.73678,0,1,0
8101,1.00302,-0.00123079,-55594.7,-6.84452,-1756.51,-6.84243,-4.56381,0,1,0
8106,1.00302,-0.00546389,-55594.7,-6.84874,7053.81,-5.97026,-1.72449,0,1,0
8107,1.00302,-0.00630988,-55594.7,-6.84958,-18464.8,-9.10779,-0.638068,0,1,0
8106.5,1.00302,-0.00588691,-55594.7,-6.84916,-20424.4,-9.34935,3.70222,0,1,0
8100,1.00302,-0.000383539,-55594.7,-6.84367,-19956.4,-9.29925,-1,0,1,0
8100,1.00302,-0.000383539,-55594.7,-6.84367,-13315.1,-8.4818,-1.36117,0,1,0
8100.5,1.00302,-0.000807189,-55594.7,-6.84409,-13223.6,-8.47002,-1,0,1,0
8100.5,1.00302,-0.000807189,-55594.7,-6.84409,-11335.9,-8.23769,0.442783,0,1,0
8098.5,1.00342,0.000887745,-68760.1,-8.45974,-13165.4,-8.46494,-1.5155,0,1,0
8099.5,1.00356,-0.00014926,-63934.5,-7.86593,4825.61,-7.86671,-0.00472358,0,1,0
8098.5,1.00391,0.000721291,-55867.4,-6.87016,8067.1,-6.87401,3.22455,0,1,0
8093,1.00437,0.00541039,-70694.1,-8.68643,-14826.8,-8.70117,-4.33423,0,1,0
8097,1.00437,0.0010951,-70694.1,-8.69072,16828.4,-6.6236,-1,0,1,0
8097,1.00437,0.0010951,-70694.1,-8.69072,16417.7,-6.6741,-3.3745,0,1,0
8099.5,1.00452,-0.00119967,-53013.2,-6.5182,17680.9,-6.51676,0.225254,0,1,0
8098.5,1.00452,-0.00039147,-53013.2,-6.5174,-13152.1,-8.13333,-1,0,1,0
8098.5,1.00452,-0.00039147,-53013.2,-6.5174,-9164.31,-7.64313,-1,0,1,0
8098.5,1.00452,-0.00039147,-53013.2,-6.5174,-8453.52,-7.55576,-1,0,1,0
8098.5,1.00476,-0.000313942,-42514.3,-5.22538,10498.9,-5.22604,0.365931,0,1,0
8096.5,1.00476,0.000982828,-42514.3,-5.22409,-649.436,-5.30588,-0.218152,0,1,0
8095,1.00476,0.00195583,-42514.3,-5.22312,30672.3,-1.45593,-1.2603,0,1,0
8095.5,1.00476,0.00163145,-42514.3,-5.22345,36541.6,-0.73428,-0.739697,0,1,0
8095,1.00476,0.00195583,-42514.3,-5.22312,40342.4,-0.267028,-1.2603,0,1,0
8095.5,1.00476,0.00163145,-42514.3,-5.22345,28338,-1.74282,-0.739697,0,1,0
8095,1.00476,0.00195583,-42514.3,-5.22312,26213.9,-2.00408,-1.2603,0,1,0
8095.5,1.00476,0.00163145,-42514.3,-5.22345,30262.2,-1.50626,-1,0,1,0
8095.5,1.00476,0.00163145,-42514.3,-5.22345,39547.6,-0.364723,-1,0,1,0
8095.5,1.00476,0.00163145,-42514.3,-5.22345,16920.2,-3.14653,-2.30375,0,1,0
8098,1.00476,1.01904e-05,-42514.3,-5.22506,25257,-2.12095,-1,0,1,0
8098,1.00476,1.01904e-05,-42514.3,-5.22506,3710.89,-4.769,-1,0,1,0
8098,1.00501,8.26326e-06,-34474.1,-4.23585,8040.2,-4.23693,-0.153838,0,1,0
8096.5,1.00501,0.000796958,-34474.1,-4.23507,-236.055,-4.26567,-0.401032,0,1,0
8095,1.00501,0.00158594,-34474.1,-4.23428,17706.8,-2.06097,-1,0,1,0
8095,1.00501,0.00158594,-34474.1,-4.23428,30500.5,-0.488422,-1,0,1,0
8095,1.00501,0.00158594,-34474.1,-4.23428,50075.4,1.91766,-1,0,1,0
8095,1.00501,0.00158594,-34474.1,-4.23428,56980.4,2.76641,-1,0,1,0
8095,1.00501,0.00158594,-34474.1,-4.23428,68690.1,4.20572,-1.7986,0,1,0
8097,1.00501,0.000534027,-34474.1,-4.23533,70455,4.42157,-1.39948,0,1,0
8098,1.00501,8.26326e-06,-34474.1,-4.23585,70592.2,4.43788,-1,0,1,0
8098,1.00682,0,23821.2,2.92168,58295.3,2.92694,-0.422214,0,1,0
8095.5,1.00682,-0.00090841,23821.2,2.92258,53979.1,9.54519,-1.24235,0,1,0
8095,1.00848,-0.00109044,77602.9,9.50589,53781.7,9.52157,-0.650126,0,1,0
8094,1.00848,-0.00227484,77602.9,9.50706,1968.92,9.74827,-1.65116,0,1,0
8093.5,1.00845,-0.00266833,72221.7,8.84865,-5381.2,8.84836,0.993988,0,1,0
8095,1.00845,-0.00101483,72221.7,8.84701,2284.65,9.12687,-0.391744,0,1,0
8095.5,1.00845,-0.000463793,72221.7,8.84646,498.958,8.90758,-1,0,1,0
8095.5,1.00845,-0.000463793,72221.7,8.84646,0,7.90431,-1,1,0,0
8095.5,1.00845,-0.000463793,72221.7,8.84646,0,8.8749,-1.60826,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,3692.82,9.29937,-1,0,1,0
8095,1.00845,-0.00101483,72221.7,8.84701,3149.36,9.2328,-1.6096,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,2981.91,9.21286,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,822.952,8.94837,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,5934.8,9.5746,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,5005.74,9.46079,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,9.80629,-1,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,5294.21,9.49613,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,4674.77,9.42024,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,9.4862,-1,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,7395.23,9.75351,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,7532.61,9.77034,-1,0,1,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,8493,9.88799,-1.60886,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,6035.89,9.58758,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,5233.29,9.48925,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,0,9.11534,-1,1,0,0
8094,1.00845,-0.00211709,72221.7,8.8481,567.25,8.9176,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,6518.48,9.6467,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,4719.58,9.42631,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,2739.94,9.18378,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,6949.99,9.69957,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,2856.02,9.198,-1,0,1,0
8094,1.00845,-0.00211709,72221.7,8.8481,-421.851,8.79642,-6.50079,0,1,0
8089.5,1.00845,-0.00708068,72221.7,8.85302,0,9.19975,-1,1,0,0
8089.5,1.00845,-0.00708068,72221.7,8.85302,0,8.80451,-1,1,0,0
8089.5,1.00845,-0.00708068,72221.7,8.85302,0,7.57085,-1,1,0,0
8089.5,1.00845,-0.00708068,72221.7,8.85302,0,7.19936,-1,1,0,0
8089.5,1.00845,-0.00708068,72221.7,8.85302,1534.12,9.04108,-1,0,1,0
8089.5,1.00845,-0.00708068,72221.7,8.85302,0,8.17089,1.44878,1,0,0
8091.5,1.00845,-0.00487396,72221.7,8.85084,0,8.31518,-1,1,0,0
8091.5,1.00845,-0.00487396,72221.7,8.85084,0,6.89852,0.221509,1,0,0
8092.5,1.00845,-0.00377101,72221.7,8.84974,0,7.97229,-0.38918,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,7.58184,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,7.45481,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,8.57883,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,7.13334,-1.61082,1,0,0
8092.5,1.00845,-0.00377101,72221.7,8.84974,0,7.05968,-1,1,0,0
8092.5,1.00845,-0.00377101,72221.7,8.84974,0,8.94223,-0.38918,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,7.12905,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,8.21435,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,8.41221,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,8.07434,-1,1,0,0
8093,1.00845,-0.00321964,72221.7,8.8492,0,8.3867,5.08419,1,0,0
8098,1.00845,0.00229035,72221.7,8.84373,0,9.01864,-1,1,0,0
8098,1.00845,0.00229035,72221.7,8.84373,6884.47,9.68675,-1,0,1,0
8098,1.00845,0.00229035,72221.7,8.84373,4247.11,9.3638,-1.60675,0,1,0
8097.5,1.00845,0.00173966,72221.7,8.84428,0,9.17889,-1,1,0,0
8097.5,1.00845,0.00173966,72221.7,8.84428,0,8.5734,-4.6489,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,8.45817,-1,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,7.58404,-1,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,8.20821,-0.390398,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,0,7.41854,-1.6096,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,6.34965,-1,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,8.00562,-0.390398,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,0,7.42428,-1,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,0,5.73423,-1.6096,1,0,0
8094.5,1.00845,-0.00156593,72221.7,8.84756,0,7.94971,-0.390398,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,0,6.3973,-1,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,0,6.48586,-1,1,0,0
8095,1.00845,-0.00101483,72221.7,8.84701,0,7.02731,-0.391744,1,0,0
8095.5,1.00845,-0.000463793,72221.7,8.84646,0,6.36055,1.43104,1,0,0
8097.5,1.00845,0.00173966,72221.7,8.84428,0,6.56827,4.44682,1,0,0
8102,1.00845,0.00669344,72221.7,8.83937,0,7.16338,1.41133,1,0,0
8104,1.00845,0.00889336,72221.7,8.83718,0,7.97988,-1,1,0,0
8104,1.00845,0.00889336,72221.7,8.83718,0,8.71742,-2.80728,1,0,0
8102.5,1.00845,0.00724352,72221.7,8.83882,-3777.05,8.37657,-1,0,1,0
8102.5,1.00845,0.00724352,72221.7,8.83882,-3541.58,8.40539,-1,0,1,0
8102.5,1.00845,0.00724352,72221.7,8.83882,-194.645,8.815,-0.397278,0,1,0
8103,1.00845,0.00779354,72221.7,8.83827,-7263.7,7.94937,-1,0,1,0
8103,1.00845,0.00779354,72221.7,8.83827,0,7.7761,0.204556,1,0,0
8104,1.00845,0.00889336,72221.7,8.83718,0,7.83123,2.60658,1,0,0
8107,1.00845,0.0121912,72221.7,8.83391,0,8.077,-1,1,0,0
8107,1.00927,0.0115022,68139.8,8.3279,-4081.91,8.33463,2.53498,0,1,0
8110,1.00942,0.01448,67527.4,8.24877,-612.426,8.25,5.75168,0,1,0
8116,1.00942,0.0206356,67527.4,8.24267,0,7.62854,-1.55876,1,0,0
8115.5,1.00942,0.0201229,67527.4,8.24318,-2377.89,7.95291,-3.24137,0,1,0
8113.5,1.00942,0.0180718,67527.4,8.24521,5224.4,8.88312,-1.56097,0,1,0
