last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
8440.5,1,0,0,0,0,-0.0600528,-1,1,0,0
8440.5,1,0,0,0,0,0.659302,-1,1,0,0
8440.5,1,0,0,0,0,0.347033,-1,1,0,0
8440.5,1,0,0,0,0,-1.954,-1,1,0,0
8440.5,1,0,0,0,0,-0.936086,-1,1,0,0
8440.5,1,0,0,0,-5735.86,-0.679564,-1,0,1,0
8440.5,1,0,0,0,-1423.01,-0.168593,-1.05924,0,1,0
8440,1,0,0,0,0,-1.09485,-1,1,0,0
8440,1,0,0,0,35170.1,4.16708,-1,0,1,0
8440,1,0,0,0,0,0.177489,-1,1,0,0
8440,1,0,0,0,9510.56,1.12684,-1,0,1,0
8440,1,0,0,0,0,4.14011,-1,1,0,0
8440,1,0,0,0,0,0.625621,-1,1,0,0
8440,1,0,0,0,0,-0.075629,-0.94076,1,0,0
8440.5,1,0,0,0,0,0.981374,-1.05924,1,0,0
8440,1,0,0,0,0,1.08665,-1,1,0,0
8440,1,0,0,0,0,1.49877,-1,1,0,0
8440,1,0,0,0,0,1.14833,-1,1,0,0
8440,1,0,0,0,0,2.27242,-1,1,0,0
8440,1,0,0,0,0,1.82067,-1,1,0,0
8440,1,0,0,0,0,0.48278,-1,1,0,0
8440,1,0,0,0,0,1.01619,-0.94076,1,0,0
8440.5,1,0,0,0,0,-0.123817,-1,1,0,0
8440.5,1,0,0,0,0,0.366126,-1.05924,1,0,0
8440,1,0,0,0,0,0.203059,-1,1,0,0
8440,1,0,0,0,0,0.202103,-1,1,0,0
8440,1,0,0,0,0,-0.590127,-1,1,0,0
8440,1,0,0,0,0,1.68865,-1,1,0,0
8440,1,0,0,0,0,0.859856,-1.11849,1,0,0
8439,1,0,0,0,0,-0.0999591,-1,1,0,0
8439,1,0,0,0,0,-0.238359,-1.17776,1,0,0
8437.5,1,0,0,0,0,1.89493,-1,1,0,0
8437.5,1,0,0,0,0,3.42147,-0.940742,1,0,0
8438,1,0,0,0,0,3.11235,-1.05926,1,0,0
8437.5,1,0,0,0,0,1.89583,-1.23707,1,0,0
8435.5,1,0,0,0,17583.3,2.08444,-1,0,1,0
8435.5,1,0,0,0,0,0.751871,-1.17784,1,0,0
8434,1,0,0,0,0,1.35158,-1,1,0,0
8434,1,0,0,0,0,0.610622,-0.940718,1,0,0
8434.5,1,0,0,0,0,0.639951,-1,1,0,0
8434.5,1,0,0,0,524.637,0.0622013,-0.940721,0,1,0
8435,1,0,0,0,0,2.08414,-1.05928,1,0,0
8434.5,1,0,0,0,0,-0.845715,-0.288889,1,0,0
8440.5,1,0,0,0,0,1.49924,-1,1,0,0
8440.5,1,0,0,0,0,3.15597,-1.05924,1,0,0
8440,1,0,0,0,0,2.24267,-0.94076,1,0,0
8440.5,1,0,0,0,0,0.702418,-1,1,0,0
8440.5,1,0,0,0,0,1.57519,-1.05924,1,0,0
8440,1,0,0,0,0,0.304897,-1,1,0,0
8440,1,0,0,0,0,0.860829,-0.94076,1,0,0
8440.5,1,0,0,0,-3111.99,-0.368697,-1.05924,0,1,0
8440,1,0,0,0,0,0.475594,-0.94076,1,0,0
8440.5,1,0,0,0,0,0.275775,-1,1,0,0
8440.5,1,0,0,0,0,0.472749,-1,1,0,0
8440.5,1,0,0,0,0,0.062898,-1,1,0,0
8440.5,1,0,0,0,0,-1.09879,-1,1,0,0
8440.5,1,0,0,0,0,-0.22579,-1,1,0,0
8440.5,1,0,0,0,688.516,0.0815729,-1.05924,0,1,0
8440,1,0,0,0,0,0.284089,-1,1,0,0
8440,1,0,0,0,0,1.10927,-0.94076,1,0,0
8440.5,1,0,0,0,0,1.48228,-1,1,0,0
8440.5,1,0,0,0,0,-0.0296869,-1,1,0,0
8440.5,1,0,0,0,0,0.988166,-1,1,0,0
8440.5,1,0,0,0,0,0.270953,-0.940764,1,0,0
8441,1,0,0,0,0,0.743077,-0.585443,1,0,0
8444.5,1,0,0,0,0,2.41583,-1,1,0,0
8444.5,1,0,0,0,-199.265,-0.023597,-1,0,1,0
8444.5,1,0,0,0,-375.625,-0.0444816,-1.05921,0,1,0
8444,1,0,0,0,10906.8,1.29167,-1,0,1,0
8444,1,0,0,0,0,0.216024,-1,1,0,0
8444,1,0,0,0,0,-0.883861,-0.940788,1,0,0
8444.5,1,0,0,0,0,-0.273084,-1.05921,1,0,0
8444,1,0,0,0,0,-0.503892,-1,1,0,0
8444,1,0,0,0,459.151,0.054376,-1,0,1,0
8444,1,0,0,0,0,0.148393,-0.940788,1,0,0
8444.5,1,0,0,0,7896.94,0.935157,-1.05921,0,1,0
8444,1,0,0,0,2739.45,0.324426,-0.940788,0,1,0
8444.5,1,0,0,0,-207.072,-0.0245216,-1,0,1,0
8444.5,1,0,0,0,0,1.11102,-1.05921,1,0,0
8444,1,0,0,0,-2888.11,-0.342031,-1,0,1,0
8444,1,0,0,0,0,-0.232466,-0.940788,1,0,0
8444.5,1,0,0,0,0,0.117951,-1,1,0,0
8444.5,1,0,0,0,-5191.84,-0.614819,-1.41456,0,1,0
8441,1,0,0,0,0,-2.13593,-0.940767,1,0,0
8441.5,1,0,0,0,0,-1.12654,-1.05923,1,0,0
8441,1,0,0,0,0,-0.337406,-1,1,0,0
8441,1,0,0,0,0,-0.964434,-1.11848,1,0,0
8440,1,0,0,0,0,-1.21718,-1.41478,1,0,0
8436.5,1,0,0,0,0,-0.919112,-1.35566,1,0,0
8433.5,1,0,0,0,0,-0.303574,-1,1,0,0
8433.5,1,0,0,0,0,0.693189,-0.940714,1,0,0
8434,1,0,0,0,-3436.01,-0.4074,-1.05929,0,1,0
8433.5,1,0,0,0,0,-0.764456,-0.940714,1,0,0
8434,1,0,0,0,0,0.188134,-1.05929,1,0,0
8433.5,1,0,0,0,-3657.19,-0.43365,-0.940714,0,1,0
8434,1,0,0,0,-551.024,-0.0653337,-1.05929,0,1,0
8433.5,1,0,0,0,1605.77,0.190404,-1,0,1,0
8433.5,1,0,0,0,0,-0.297608,-1,1,0,0
8433.5,1,0,0,0,2191.21,0.259823,-0.940714,0,1,0
8434,1.00012,-0,-4163.78,-0.493629,-4163.78,-0.49369,-0.696498,0,1,0
8437,1.00012,-0.000175545,-4163.78,-0.493805,0,-1.42681,-0.969976,1,0,0
8437.5,1.00012,-0.00020479,-4163.78,-0.493834,2264.26,-0.225101,-1.03002,0,1,0
8437,1.00012,-0.000175545,-4163.78,-0.493805,0,-0.0704064,-1,1,0,0
8437,1.00012,-0.000175545,-4163.78,-0.493805,0,-0.624193,-0.939957,1,0,0
8438,1.00012,-0.000234032,-4163.78,-0.493863,0,0.220025,-1,1,0,0
8438,1.00012,-0.000234032,-4163.78,-0.493863,0,0.372233,-1,1,0,0
8438,1.00012,-0.000234032,-4163.78,-0.493863,8678.13,0.534936,-1,0,1,0
8438,1.00012,-0.000234032,-4163.78,-0.493863,0,0.783927,-0.879965,1,0,0
8440,1.00012,-0.000350964,-4163.78,-0.49398,0,-0.724079,-1,1,0,0
8440,1.00012,-0.000350964,-4163.78,-0.49398,0,-0.431845,-1,1,0,0
8440,1.00012,-0.000350964,-4163.78,-0.49398,0,-0.531545,-0.939979,1,0,0
8441,1.00012,-0.00040941,-4163.78,-0.494038,0,0.933606,-0.939996,1,0,0
8442,1.00012,-0.000467842,-4163.78,-0.494097,0,0.949991,-0.969989,1,0,0
8442.5,1.00012,-0.000497052,-4163.78,-0.494126,0,1.68439,-0.909994,1,0,0
8444,1.00012,-0.000584664,-4163.78,-0.494214,0,2.14835,-1,1,0,0
8444,1.00012,-0.000584664,-4163.78,-0.494214,14444.4,1.21736,-1,0,1,0
8444,1.00012,-0.000584664,-4163.78,-0.494214,0,0.157064,-1.03,1,0,0
8443.5,1.00012,-0.000555463,-4163.78,-0.494184,0,-0.62692,-1,1,0,0
8443.5,1.00012,-0.000555463,-4163.78,-0.494184,0,-0.212754,-1,1,0,0
8443.5,1.00012,-0.000555463,-4163.78,-0.494184,0,-0.606116,-0.970003,1,0,0
