last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
6573.5,1,0,0,0,0,-1.0626,-1,1,0,0
6577.5,1,0,0,0,0,-0.997584,-1,1,0,0
6577.5,1,0,0,0,0,0.487963,-1,1,0,0
6577.5,1,0,0,0,0,-1.38911,-1.53226,1,0,0
6574,1,0,0,0,0,0.408822,-2.44613,1,0,0
6564.5,1,0,0,0,0,-1.87851,-0.923836,1,0,0
6565,1,0,0,0,0,-0.0738973,0.217842,1,0,0
6573,1,0,0,0,0,0.400966,-1,1,0,0
6573,1,0,0,0,0,-1.15248,-1,1,0,0
6573,1,0,0,0,0,-1.19967,-1.60874,1,0,0
6569,1,0,0,0,0,-0.730068,-3.59127,1,0,0
6552,1,0,0,0,0,-1.8243,-0.389686,1,0,0
6556,1,0,0,0,0,2.15448,-1.07627,1,0,0
6555.5,1,0,0,0,0,1.31478,-1.76301,1,0,0
6550.5,1,0,0,0,0,0.939775,1.89634,1,0,0
6569.5,1,0,0,0,0,1.55452,-1.07611,1,0,0
6569,1,0,0,0,0,-1.42799,-1.22837,1,0,0
6567.5,1,0,0,0,0,-7.69847,-1,1,0,0
6567.5,1,0,0,0,0,-1.84634,-0.162893,1,0,0
6573,1,0,0,0,0,-9.45012,-0.847874,1,0,0
6574,1,0,0,0,0,-8.61845,-0.0877299,1,0,0
6580,1,0,0,0,0,-9.05,-1.304,1,0,0
6578,1,0,0,0,0,-8.98427,-1.22806,1,0,0
6576.5,1,0,0,0,0,-7.71747,-0.847955,1,0,0
6577.5,1,0,0,0,0,-6.4884,-0.0122706,1,0,0
6584,1,0,0,0,0,-9.24107,-0.544454,1,0,0
6587,1,0,0,0,0,-9.96415,1.42608,1,0,0
6603,1,0,0,0,0,-9.88605,-1.45444,1,0,0
6600,1,0,0,0,0,-9.49526,-0.697016,1,0,0
6602,1,0,0,0,0,-9.56043,-2.36415,1,0,0
6593,1,0,0,0,0,-9.77211,-1.83457,1,0,0
6587.5,1,0,0,0,0,-9.08968,-0.772322,1,0,0
6589,1,0,0,0,0,-7.41557,-1.22768,1,0,0
6587.5,1,0,0,0,0,-4.68871,-0.924102,1,0,0
6588,1,0,0,0,0,-9.48957,-1,1,0,0
6588,1,0,0,0,0,-8.15921,-0.39302,1,0,0
6592,1,0,0,0,0,-8.46961,-0.317587,1,0,0
