last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
6550,1,0,0,0,0,-1.31328,-1,1,0,0
6549,1.0003,-0,-7740.89,-1.18165,-7740.89,-1.182,-0.7323,0,1,0
6550,1.0003,-0.000180457,-7740.89,-1.18183,0,-3.14415,-1.06936,1,0,0
6552.5,1.0003,-0.00063136,-7740.89,-1.18228,0,-2.16463,-0.889056,1,0,0
6548.5,1.0003,9.02494e-05,-7740.89,-1.18156,0,-3.17119,-1,1,0,0
6548.5,1.0003,9.02494e-05,-7740.89,-1.18156,0,-1.09499,-1.02771,1,0,0
6549.5,1.00044,-2.5081e-05,-2151.58,-0.328415,5589.31,-0.328413,-1.14569,0,1,0
6546,1.00044,0.000150566,-2151.58,-0.328239,0,-1.91532,-1,1,0,0
6546,1.00044,0.000150566,-2151.58,-0.328239,0,-0.54995,-1.20517,1,0,0
6544,1.00169,0,23992.2,3.66009,26143.8,3.66466,-2.85488,0,1,0
6540,1.00169,-0.00224238,23992.2,3.66233,3191.44,4.14949,-1,0,1,0
6540,1.00169,-0.00224238,23992.2,3.66233,0,3.47396,2.20852,1,0,0
6544.5,1.00169,0.000280105,23992.2,3.65981,11450.1,5.40643,1.84344,0,1,0
6548.5,1.00169,0.0025194,23992.2,3.65758,0,2.23281,0.0641304,1,0,0
6550,1.00169,0.00335843,23992.2,3.65674,0,1.99014,-1.35463,1,0,0
6549.5,1.00169,0.0030788,23992.2,3.65702,-13486.1,1.60139,-0.645373,0,1,0
6550,1.00169,0.00335843,23992.2,3.65674,0,0.837859,1.83229,1,0,0
6554,1.00169,0.00559397,23992.2,3.65451,0,2.35564,-1,1,0,0
6554,1.00169,0.00559397,23992.2,3.65451,0,1.14305,2.88156,1,0,0
6559.5,1.00169,0.00866338,23992.2,3.65144,0,1.76649,-1,1,0,0
6559.5,1.00211,0.00865697,34924.3,5.31301,10932.1,5.31522,-2.50717,0,1,0
6557.5,1.00211,0.00703311,34924.3,5.31463,0,6.29549,0.913192,1,0,0
6559.5,1.00211,0.00865697,34924.3,5.31301,0,4.44236,-1.47805,1,0,0
6559,1.00211,0.00825109,34924.3,5.31342,0,2.42856,-2.91386,1,0,0
6557,1.00211,0.00662699,34924.3,5.31504,-5294.84,4.50923,-5.80047,0,1,0
6552,1.00211,0.00256239,34924.3,5.3191,0,1.11478,-1,1,0,0
6552,1.00211,0.00256239,34924.3,5.3191,0,4.4756,-0.518586,1,0,0
6552.5,1.00211,0.00296913,34924.3,5.31869,0,4.3175,3.79777,1,0,0
6557.5,1.00211,0.00703311,34924.3,5.31463,0,3.21303,-2.43665,1,0,0
6556,1.00211,0.00581456,34924.3,5.31585,0,5.2216,-5.32361,1,0,0
6551.5,1.00211,0.00215559,34924.3,5.3195,0,5.16596,3.32361,1,0,0
6556,1.00211,0.00581456,34924.3,5.31585,0,4.70417,-1,1,0,0
6556,1.00211,0.00581456,34924.3,5.31585,0,3.2071,-4.36112,1,0,0
6552.5,1.00211,0.00296913,34924.3,5.31869,0,3.02366,-1,1,0,0
6552.5,1.00211,0.00296913,34924.3,5.31869,0,2.30611,-1,1,0,0
6552.5,1.00211,0.00296913,34924.3,5.31869,0,2.04092,-0.519261,1,0,0
6553,1.00211,0.0033758,34924.3,5.31828,0,2.29236,-1.48074,1,0,0
6552.5,1.00211,0.00296913,34924.3,5.31869,0,3.96932,-1.96249,1,0,0
6551.5,1.00211,0.00215559,34924.3,5.3195,0,1.7956,-2.44527,1,0,0
6550,1.00211,0.000934809,34924.3,5.32072,0,2.69535,-1,1,0,0
6550,1.00211,0.000934809,34924.3,5.32072,0,2.30602,0.926346,1,0,0
6552,1.00211,0.00256239,34924.3,5.3191,0,2.46404,-1,1,0,0
6552,1.00211,0.00256239,34924.3,5.3191,0,-0.904282,-1.48108,1,0,0
6551.5,1.00211,0.00215559,34924.3,5.3195,0,-0.144606,-0.518922,1,0,0
6552,1.00211,0.00256239,34924.3,5.3191,-65677.7,-4.68386,-1,0,1,0
6552,1.00211,0.00256239,34924.3,5.3191,0,-1.45738,-2.44425,1,0,0
6550.5,1.00211,0.0013418,34924.3,5.32031,-75556.4,-6.18985,-2.4468,0,1,0
6549,1.00211,0.000120647,34924.3,5.32153,-82019.3,-7.17603,-7.77924,0,1,0
6542,1.00211,-0.00558546,34924.3,5.32723,-71558.5,-5.58807,-0.514138,0,1,0
6542.5,1.00211,-0.00517747,34924.3,5.32682,0,-4.49559,-7.33337,1,0,0
6536,1.00211,-0.0104861,34924.3,5.33212,0,-0.324127,-0.511532,1,0,0
6536.5,1.00211,-0.0100774,34924.3,5.33171,0,3.52488,-1.48847,1,0,0
6536,1.00211,-0.0104861,34924.3,5.33212,0,4.09278,1.92818,1,0,0
6539,1.00211,-0.00803467,34924.3,5.32967,0,4.38248,-1,1,0,0
6539,1.00211,-0.00803467,34924.3,5.32967,0,3.47072,-1,1,0,0
6539,1.00211,-0.00803467,34924.3,5.32967,0,2.157,-1,1,0,0
6539,1.00211,-0.00803467,34924.3,5.32967,0,3.88259,-1,1,0,0
6539,1.00211,-0.00803467,34924.3,5.32967,0,2.58939,2.4052,1,0,0
6542.5,1.00211,-0.00517747,34924.3,5.32682,0,3.0297,1.9095,1,0,0
6545.5,1.00156,-0,-22044,-3.36258,-56968.2,-3.36071,0.633367,0,1,0
6547,1.00306,-0.000771493,-61568.7,-9.37692,-39524.8,-9.38951,-3.34171,0,1,0
6550,1.00306,-0.00507872,-61568.7,-9.38122,0,-9.04229,-1,1,0,0
6550,1.00306,-0.00507872,-61568.7,-9.38122,5536.82,-8.52836,-1,0,1,0
6550,1.00306,-0.00507872,-61568.7,-9.38122,0,-5.30579,4.12811,1,0,0
6546,1.00306,0.000665127,-61568.7,-9.37549,0,-8.33354,-1,1,0,0
6546,1.00306,0.000665127,-61568.7,-9.37549,0,-9.65699,-1,1,0,0
6546,1.00306,0.000665127,-61568.7,-9.37549,0,-9.98682,-1.63975,1,0,0
6546.5,1.00306,-5.32381e-05,-61568.7,-9.37621,0,-9.96889,-1,1,0,0
