last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
9300.5,1,0,0,0,33640.4,3.61705,-1,0,1,0
9300.5,1,0,0,0,36513.1,3.92593,-1.05376,0,1,0
9300,1,0,0,0,0,2.8876,-1,1,0,0
9300,1,0,0,0,15734.9,1.69192,-1,0,1,0
9300,1,0,0,0,19182.5,2.06263,-0.892479,0,1,0
9301,1,0,0,0,16328.3,1.75554,-0.677506,0,1,0
9304,1,0,0,0,26550.4,2.85366,-1,0,1,0
9304,1,0,0,0,24912.7,2.67763,-1.05374,0,1,0
9303.5,1,0,0,0,0,3.58892,-0.946258,1,0,0
9304,1,0,0,0,19310.4,2.07549,-1,0,1,0
9304,1,0,0,0,24517.2,2.63513,-1,0,1,0
9304,1,0,0,0,0,3.30294,-1.05374,1,0,0
9303.5,1,0,0,0,26322.6,2.82932,-0.946258,0,1,0
9304,1,0,0,0,0,1.93174,-1,1,0,0
9304,1,0,0,0,0,0.028589,-1,1,0,0
9304,1,0,0,0,16246.7,1.74621,-1,0,1,0
9304,1,0,0,0,0,0.197379,-1,1,0,0
9304,1,0,0,0,9944.78,1.06887,-1,0,1,0
9304,1,0,0,0,15041.8,1.6167,-1,0,1,0
9304,1,0,0,0,0,0.94876,-1,1,0,0
9304,1,0,0,0,0,2.57418,-1,1,0,0
9304,1,0,0,0,0,0.804946,-1,1,0,0
9304,1,0,0,0,0,-0.0988111,-1.05374,1,0,0
9303.5,1,0,0,0,0,0.860677,-1,1,0,0
9303.5,1,0,0,0,9023.46,0.969899,-0.946258,0,1,0
9304,1,0,0,0,8909.88,0.95764,-1,0,1,0
9304,1,0,0,0,16916.1,1.81815,-0.462741,0,1,0
9309,1,0,0,0,23179,2.48996,-1,0,1,0
9309,1,0,0,0,0,1.57974,-1,1,0,0
9309,1,0,0,0,-8383.13,-0.90054,-1,0,1,0
9309,1,0,0,0,-13979.6,-1.50173,-1,0,1,0
9309,1,0,0,0,9163.72,0.984394,-1,0,1,0
9309,1,0,0,0,0,-0.0219626,-1,1,0,0
9309,1,0,0,0,0,-1.29824,-1.05371,1,0,0
9308.5,1,0,0,0,0,-0.311063,-1,1,0,0
9308.5,1,0,0,0,0,-0.457149,-0.946287,1,0,0
9309,1,0,0,0,0,-1.71363,-1,1,0,0
9309,1,0,0,0,-18705.9,-2.00944,-1,0,1,0
9309,1,0,0,0,0,-3.44477,-1,1,0,0
9309,1,0,0,0,-29622.8,-3.18217,-1,0,1,0
9309,1.00047,-0,-17447.1,-1.87334,-17447.1,-1.87422,-0.719198,0,1,0
9311,1.00047,-0.000402581,-17447.1,-1.87374,0,-3.16452,-1.09382,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,-842.41,-1.96316,-1,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,0,-0.459561,-1,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,32580.3,1.62436,-1.04699,0,1,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,0,1.94468,-1,1,0,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,0,0.137092,-1,1,0,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,0,-2.1886,-1,1,0,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,0,-1.67232,-1,1,0,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,604.461,-1.80776,-1,0,1,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,13401.5,-0.434226,-1,0,1,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,5878.75,-1.24166,-0.953007,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,-7416.63,-2.66882,-1.04699,0,1,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,-7395.84,-2.66645,-0.953007,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,16496.6,-0.102026,-1,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,0,-1.48213,-1,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,0,-0.54877,-1,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,12247.6,-0.558102,-1,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,2911.36,-1.56024,-1.04699,0,1,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,0,-1.16725,-0.953007,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,30187.4,1.36752,-1.04699,0,1,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,0,-0.57644,-0.953007,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,0,-0.751303,-1.04699,1,0,0
9312.5,1.00047,-0.000704404,-17447.1,-1.87404,14947.3,-0.268304,-0.953007,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,15415.1,-0.218105,-1,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,0,-1.63647,-1,1,0,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,-6463.18,-2.56648,-1,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,14552.8,-0.310667,-1,0,1,0
9312,1.00047,-0.000603807,-17447.1,-1.87394,0,-1.43454,-0.859227,1,0,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,-12696.1,-3.23604,-1,0,1,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,2284.82,-1.62775,-1,0,1,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,7877.6,-1.02734,-1,0,1,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,0,-1.26802,-1,1,0,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,13103.2,-0.46634,-1,0,1,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,8233.64,-0.989114,-1.04695,0,1,0
9311,1.00047,-0.000402581,-17447.1,-1.87374,-12.6114,-1.87429,-0.953046,0,1,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,0,-0.0547988,-1,1,0,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,0,-3.65862,-1,1,0,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,0,-0.587563,-1,1,0,0
9310.5,1.00047,-0.000301952,-17447.1,-1.87364,0,-3.43679,-0.859344,1,0,0
9309,1.00047,-0,-17447.1,-1.87334,0,-2.79926,-0.812344,1,0,0
9307,1.00047,0.000402755,-17447.1,-1.87294,0,-1.42312,-1,1,0,0
9307,1.00047,0.000402755,-17447.1,-1.87294,0,-1.32203,-1,1,0,0
9307,1.00061,0.000338323,-14656,-1.57309,2791.12,-1.57399,-0.801924,0,1,0
