last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
7159,1,0,0,0,0,-3.97472,-1,1,0,0
7160,1,0,0,0,0,-4.94815,-1,1,0,0
7160,1,0,0,0,0,-4.43594,-0.860345,1,0,0
7161,1,0,0,0,-52997.6,-7.40086,-1.06983,0,1,0
7160.5,1,0,0,0,0,-1.91055,-0.511327,1,0,0
7164,1,0,0,0,0,-8.31421,-0.860423,1,0,0
7165,1,0,0,0,0,-5.88925,-1,1,0,0
7165,1,0,0,0,0,0.944983,-1,1,0,0
7165,1,0,0,0,0,-0.250335,-1,1,0,0
7165,1,0,0,0,0,-6.51101,-1.06979,1,0,0
7164.5,1,0,0,0,0,2.44587,-1,1,0,0
7164.5,1,0,0,0,-13074.2,-1.82486,-1,0,1,0
7164.5,1,0,0,0,0,2.64421,-1.62829,1,0,0
7160,1,0,0,0,0,3.47411,-1.06983,1,0,0
7159.5,1,0,0,0,0,3.44546,-0.371662,1,0,0
7164,1,0,0,0,0,-4.99391,-0.860423,1,0,0
7165,1,0,0,0,21033,2.93552,-0.162946,0,1,0
7171,1,0,0,0,0,4.0207,-0.651434,1,0,0
7173.5,1,0,0,0,0,5.48977,-1.0697,1,0,0
7173,1,0,0,0,0,3.50694,-1,1,0,0
7173,1.00019,0,5560.35,0.775028,5560.35,0.775178,-1.54885,0,1,0
7170,1.00019,-0.000324342,5560.35,0.775353,0,5.72578,-1.12388,1,0,0
7169.5,1.00019,-0.000378426,5560.35,0.775407,0,2.54137,-1,1,0,0
7169.5,1.00019,-0.000378426,5560.35,0.775407,0,-0.960719,-0.876123,1,0,0
7170,1.00019,-0.000324342,5560.35,0.775353,0,-4.9904,-0.876211,1,0,0
7170.5,1.00019,-0.000270267,5560.35,0.775298,0,-1.06934,-1,1,0,0
7170.5,1.00019,-0.000270267,5560.35,0.775298,-54982.8,-6.89113,-1,0,1,0
7170.5,1.00019,-0.000270267,5560.35,0.775298,-63470,-8.07453,-1,0,1,0
7170.5,1.00239,-0,-65263.1,-9.07988,-70823.4,-9.09984,-3.05098,0,1,0
7174.5,1.00239,-0.00507442,-65263.1,-9.08494,0,-4.52904,-6.10673,1,0,0
7179,1.00239,-0.0107764,-65263.1,-9.09063,0,-2.28095,-2.13819,1,0,0
7180,1.00239,-0.0120425,-65263.1,-9.09189,0,-1.89581,-2.7099,1,0,0
7181.5,1.00239,-0.0139411,-65263.1,-9.09379,0,-1.51139,0.139708,1,0,0
7180.5,1.00239,-0.0126754,-65263.1,-9.09253,0,-1.12611,2.41305,1,0,0
7177.5,1.00239,-0.00887652,-65263.1,-9.08874,0,-1.87077,0.13598,1,0,0
7176.5,1.00239,-0.00760951,-65263.1,-9.08747,0,-2.18501,1.83134,1,0,0
7174,1.00239,-0.00444043,-65263.1,-9.08431,0,-1.61322,-1.56526,1,0,0
7174.5,1.00239,-0.00507442,-65263.1,-9.08494,0,-3.39527,-0.43474,1,0,0
7174,1.00239,-0.00444043,-65263.1,-9.08431,0,-2.9582,-1,1,0,0
7174,1.00239,-0.00444043,-65263.1,-9.08431,0,-3.55949,-1,1,0,0
7174,1.00239,-0.00444043,-65263.1,-9.08431,0,-3.6897,-1.56526,1,0,0
7174.5,1.00239,-0.00507442,-65263.1,-9.08494,0,-5.42722,-2.1327,1,0,0
7175.5,1.00239,-0.00634214,-65263.1,-9.08621,0,-4.7665,-1,1,0,0
7175.5,1.00239,-0.00634214,-65263.1,-9.08621,0,-4.52119,-1,1,0,0
