cart_position,cart_velocity,pole_angle,pole_velocity
0,0.010764,0,-0.016146
0.000215281,-0.0220185,-0.000322921,0.0330277
-0.000225089,-0.102232,0.000337633,0.153252
-0.00226972,-0.143212,0.00340268,0.214822
-0.00513396,-0.202249,0.00769913,0.304378
-0.00917895,-0.275667,0.0137867,0.416764
-0.0146923,-0.264864,0.022122,0.404615
-0.0199896,-0.347245,0.0302143,0.53466
-0.0269345,-0.392056,0.0409075,0.610727
-0.0347756,-0.468712,0.053122,0.737639
-0.0441498,-0.399151,0.0678748,0.649055
-0.0521329,-0.384555,0.0808559,0.64715
-0.0598239,-0.447822,0.0937989,0.765487
-0.0687804,-0.412261,0.109109,0.739917
-0.0770256,-0.501642,0.123907,0.905205
-0.0870584,-0.585275,0.142011,1.06603
-0.098764,-0.642225,0.163332,1.1922
-0.111608,-0.69429,0.187176,1.31707
-0.125494,-0.68589,0.213517,1.3594
