cart_position,cart_velocity,pole_angle,pole_velocity
0,-0.0761722,0,0.114258
-0.00152344,-0.14474,0.00228517,0.21711
-0.00441824,-0.138145,0.00662737,0.20789
-0.00718115,-0.188138,0.0107852,0.284825
-0.0109439,-0.187462,0.0164817,0.286982
-0.0146931,-0.118466,0.0222213,0.188348
-0.0170625,-0.0288134,0.0259883,0.0604347
-0.0176387,-0.0941358,0.027197,0.166025
-0.0195214,-0.116156,0.0305175,0.207037
-0.0218446,-0.15822,0.0346582,0.279076
-0.025009,-0.0638942,0.0402397,0.147859
-0.0262868,-0.102337,0.0431969,0.217303
-0.0283336,-0.154897,0.047543,0.308766
-0.0314315,-0.117572,0.0537183,0.266815
-0.033783,-0.0845564,0.0590546,0.233148
-0.0354741,-0.170373,0.0637175,0.379001
