last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market,reward
6467,1,0,0,0,0,1.63939,-1,1,0,0
6467,1,0,0,0,0,-0.473061,-0.922687,1,0,0
6467.5,1,0,0,0,0,-0.206011,-1.46397,1,0,0
6464.5,1,0,0,0,0,-0.802935,-1.23206,1,0,0
6463,1,0,0,0,2587.29,0.400324,-1,0,1,0
6463,1,0,0,0,0,2.58835,-0.92264,1,0,0
6463.5,1,0,0,0,0,1.6575,-1,1,0,0
6463.5,1,0,0,0,0,1.34059,-1.07736,1,0,0
6463,1,0,0,0,1695.28,0.262305,-1,0,1,0
6463,1,0,0,0,-8999.56,-1.39247,-1,0,1,0
6463,1,0,0,0,0,-1.36861,-1.46429,1,0,0
6460,1,0,0,0,0,-1.22016,-1,1,0,0
6460,1,0,0,0,699.983,0.108356,-0.845213,0,1,0
6461,1,0,0,0,-6735.99,-1.04256,-1,0,1,0
6461,1,0,0,0,0,0.167365,-1,1,0,0
6461,1,0,0,0,0,-0.0623455,-1,1,0,0
6461,1,0,0,0,0,1.05901,-1,1,0,0
6461,1,0,0,0,0,0.250813,-1,1,0,0
6461,1,0,0,0,4710.78,0.72911,-1,0,1,0
6461,1,0,0,0,8441.61,1.30655,-1,0,1,0
6461,1,0,0,0,0,0.494131,-0.922616,1,0,0
6461.5,1,0,0,0,0,0.349645,-1.07738,1,0,0
6461,1,0,0,0,0,-0.179154,-0.381092,1,0,0
6465,1,0,0,0,0,-0.745012,-1,1,0,0
6465,1,0,0,0,713.278,0.110329,-1,0,1,0
6465,1,0,0,0,0,0.349923,-0.845333,1,0,0
6466,1,0,0,0,0,-0.443143,-0.381571,1,0,0
6470,1,0,0,0,0,0.0688069,-1,1,0,0
6470,1,0,0,0,0,-2.13899,-1.07728,1,0,0
6469.5,1,0,0,0,0,-3.49037,-1.07729,1,0,0
6469,1,0,0,0,0,-0.997436,-1,1,0,0
6469,1,0,0,0,-7957.46,-1.23009,-1,0,1,0
6469,1,0,0,0,-20301,-3.1382,-1,0,1,0
6469,1,0,0,0,0,-1.15478,-1,1,0,0
6469,1,0,0,0,0,-1.28345,-2.08267,1,0,0
6462,1,0,0,0,0,-2.78119,-0.922628,1,0,0
6462.5,1,0,0,0,695.304,0.107591,-0.922634,0,1,0
6463,1,0,0,0,0,0.239656,-1.07737,1,0,0
6462.5,1.00045,-0,-11520.5,-1.78187,-11520.5,-1.78266,-0.735956,0,1,0
6464,1.00045,-0.000413675,-11520.5,-1.78228,0,-1.96099,-1,1,0,0
6464,1.00045,-0.000413675,-11520.5,-1.78228,0,-2.95221,-0.939397,1,0,0
6463.5,1.00045,-0.000275805,-11520.5,-1.78215,0,-2.49859,-1,1,0,0
6463.5,1.00045,-0.000275805,-11520.5,-1.78215,0,-3.97775,-1,1,0,0
6463.5,1.00045,-0.000275805,-11520.5,-1.78215,-12453.2,-3.70744,-1.0606,0,1,0
6464,1.00045,-0.000413675,-11520.5,-1.78228,0,-2.23189,-1.30255,1,0,0
6466.5,1.00045,-0.00110271,-11520.5,-1.78297,0,-2.22161,-0.939439,1,0,0
6466,1.00045,-0.000964944,-11520.5,-1.78284,0,-4.21754,-1,1,0,0
6466,1.00045,-0.000964944,-11520.5,-1.78284,0,-4.0436,-1,1,0,0
6466,1.00045,-0.000964944,-11520.5,-1.78284,0,-3.52818,-1,1,0,0
6466,1.00045,-0.000964944,-11520.5,-1.78284,0,-3.56065,-1,1,0,0
