cart_position,cart_velocity,pole_angle,pole_velocity
0,0.0215035,0,-0.0322552
0.00043007,0.0858961,-0.000645105,-0.128844
0.00214799,0.112565,-0.00322199,-0.169037
0.0043993,0.0297483,-0.00660274,-0.0457601
0.00499426,0.049914,-0.00751794,-0.0779491
0.00599254,0.120055,-0.00907692,-0.185367
0.00839364,0.0871707,-0.0127843,-0.138712
0.0101371,0.144037,-0.0155585,-0.227763
0.0130178,0.202869,-0.0201138,-0.320574
0.0170752,0.125754,-0.0265253,-0.210839
0.0195903,0.156513,-0.030742,-0.264759
0.0227205,0.147253,-0.0360372,-0.259911
0.0256656,0.140063,-0.0412354,-0.259726
0.0284668,0.0682179,-0.0464299,-0.16417
0.0298312,0.0634807,-0.0497133,-0.170717
0.0311008,-0.0203074,-0.0531277,-0.0597999
0.0306947,0.0376645,-0.0543237,-0.162247
0.031448,-0.00709127,-0.0575686,-0.111176
0.0313061,0.00128523,-0.0597921,-0.140636
0.0313318,0.00916858,-0.0626049,-0.170008
0.0315152,0.0789626,-0.066005,-0.292888
0.0330945,0.0763486,-0.0718628,-0.308367
0.0346214,0.171169,-0.0780301,-0.471339
0.0380448,0.119991,-0.0874569,-0.417724
0.0404446,0.0903415,-0.0958114,-0.399099
0.0422515,0.0470574,-0.103793,-0.362596
0.0431926,-0.0121957,-0.111045,-0.304655
0.0429487,0.0790519,-0.117138,-0.473264
0.0445297,0.0436274,-0.126604,-0.454851
0.0454023,-0.0440503,-0.135701,-0.36151
0.0445213,-0.0872178,-0.142931,-0.337127
0.0427769,-0.0780831,-0.149673,-0.392568
0.0412152,-0.127176,-0.157525,-0.363591
0.0386717,-0.188709,-0.164797,-0.318556
0.0348975,-0.122158,-0.171168,-0.465262
0.0324544,-0.0619592,-0.180473,-0.604318
0.0312152,-0.106919,-0.192559,-0.590746
0.0290768,-0.0315079,-0.204374,-0.758035
0.0284467,-0.115825,-0.219535,-0.69386
